trial_id,adv_lr,dis_lambda,gen_d_model,dis_d_model,gen_num_encoder_layers,roll_num,gen_dropout,batch_size,dataset_name,properties,max_len,gen_epochs,dis_epochs,adv_epochs,gen_max_lr,gen_nhead,dis_nhead,gen_dim_feedforward,dis_feed_forward,dis_num_encoder_layers,dis_dropout,dis_wgan,dis_minibatch
175,0.00004,0.5,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
176,0.00004,0.5,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
177,0.00008,0.5,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
178,0.00008,0.5,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
179,0.00008,0.5,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
180,0.00016,0.5,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
181,0.00016,0.5,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
182,0.00016,0.5,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
183,0.00032,0.5,128,100,4,2,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
184,0.00032,0.5,128,100,4,4,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
185,0.00032,0.5,128,100,4,8,0.1,64,comb_1,safscore,80,150,10,60,0.0008,4,5,1024,200,4,0.25,False,False
